customer_code,first_name,last_name,email,phone,date_of_birth,gender,acquisition_date,customer_status
C00001,Mason,Smith,mason.smith760@email.com,+1-481-350-4657,2002-05-29,Other,2024-08-11,Active
C00002,Grace,Williams,grace.williams605@email.com,+1-632-132-1488,1994-05-31,Male,2024-09-27,Active
C00003,Scarlett,Martin,scarlett.martin28@email.com,+1-774-303-9928,1980-06-03,Male,2023-10-29,Active
C00004,John,Rodriguez,john.rodriguez829@email.com,+1-206-877-3615,1987-06-02,Female,2023-01-17,Active
C00005,Henry,Jones,henry.jones221@email.com,+1-981-444-2674,2002-05-29,Female,2024-09-28,Active
C00006,Emily,Ramirez,emily.ramirez353@email.com,+1-818-370-1711,2001-05-29,Other,2023-09-18,Active
C00007,Elizabeth,Williams,elizabeth.williams566@email.com,+1-500-949-6925,1963-06-08,Male,2023-05-20,Active
C00008,Ava,Johnson,ava.johnson678@email.com,+1-433-891-5741,1953-06-10,Male,2024-10-11,Active
C00009,Sophia,Gonzalez,sophia.gonzalez285@email.com,+1-664-750-6977,1986-06-02,Female,2024-07-18,Active
C00010,Benjamin,Perez,benjamin.perez274@email.com,+1-918-799-2169,1998-05-30,Other,2023-04-18,Active
C00011,Grace,White,grace.white251@email.com,+1-367-573-7216,1964-06-07,Other,2024-03-30,Active
C00012,Sebastian,Davis,sebastian.davis702@email.com,+1-532-963-1916,1957-06-09,Male,2024-05-11,Active
C00013,Abigail,Gonzalez,abigail.gonzalez275@email.com,+1-267-316-6155,1977-06-04,Other,2024-05-28,Active
C00014,Matthew,Lewis,matthew.lewis937@email.com,+1-858-569-3340,1993-05-31,Male,2024-04-04,Active
C00015,Sebastian,Moore,sebastian.moore270@email.com,+1-964-698-8019,1985-06-02,Female,2023-05-14,Active
C00016,Amelia,Jones,amelia.jones522@email.com,+1-705-193-1771,1968-06-06,Male,2024-09-10,Active
C00017,Mia,Sanchez,mia.sanchez697@email.com,+1-632-710-2040,1970-06-06,Female,2023-12-03,Active
C00018,David,Taylor,david.taylor258@email.com,+1-766-981-1188,2001-05-29,Other,2023-02-04,Active
C00019,Grace,Harris,grace.harris274@email.com,+1-987-756-6573,1981-06-03,Female,2024-09-08,Active
C00020,Mia,Anderson,mia.anderson4@email.com,+1-939-996-5315,1976-06-04,Male,2023-08-07,Active
C00021,Sophia,Ramirez,sophia.ramirez641@email.com,+1-505-961-9317,1999-05-30,Male,2023-04-18,Active
C00022,Daniel,Harris,daniel.harris166@email.com,+1-752-897-9689,1988-06-01,Other,2024-12-31,Active
C00023,Joseph,Smith,joseph.smith115@email.com,+1-571-999-6038,1993-05-31,Male,2024-04-30,Active
C00024,Chloe,Williams,chloe.williams88@email.com,+1-949-597-2133,2000-05-29,Male,2023-07-05,Active
C00025,Ella,Moore,ella.moore170@email.com,+1-471-640-7932,1960-06-08,Other,2024-05-29,Active
C00026,Charlotte,Thompson,charlotte.thompson320@email.com,+1-608-787-7118,1980-06-03,Other,2023-10-10,Active
C00027,Mason,Davis,mason.davis231@email.com,+1-265-446-1344,1994-05-31,Other,2023-05-09,Active
